id,text,E,S,G,non_ESG
4116,A multi-purpose community centre has been designed and a grant of €secured for the construction of the first building.,0,1,0,0
4117,"In communities in which we operate, demonstrating in practice our commitment to support our fellow citizens.",0,0,0,1
4118,"Before joining Trident Capital, Stephen was an Associate Director of Carmichael Corporate where he assisted clients by providing equity market, IPO and M&A advice and assistance.",0,0,1,0
4119,"This includes increased due diligence activity in relation to the lending decisions being undertaken, and social interaction to promote inclusion and diversity in the communities in which the Group operates.",0,0,0,1
4120,"Automating security processes and integrating with IT, business and security solutions could address shortage of technical security staff and avoid introducing human intervention and errors.",0,1,0,0
4121,"By acceptance of this Agreement, you shall be considered in agreement that the Award shall be considered special incentive compensation and will be exempt from inclusion as “wages” or “salary” in pension, retirement, life insurance and other employee benefits arrangements of the Company and its Affiliates, except as determined otherwise by the Company.",0,0,0,1
4122,"•	 Social	commitment	–	the	underlying	principle is, wherever possible, to become involved in the local community in the cities and regions where we are active.",0,1,0,0
4123,"As the sole shareholder of Victory Community Bank, Victory Bancorp received purchase consideration consisting of common stock, valued at [AMOUNT] and [AMOUNT] in cash, for total consideration of [AMOUNT].",0,1,0,0
4124,"During disclosed key ESG metrics, documents and policies through the Global Reporting Initiative (“GRI”) Index, in accordance with the GRI framework.",0,0,0,1
4125,"Our internal control over financial reporting includes those policies and procedures that: (i) pertain to the maintenance of records that, in reasonable detail, accurately and fairly reflect the transactions and dispositions our assets; (ii) provide reasonable assurance that transactions are recorded as necessary to permit preparation of financial statements in accordance with generally accepted accounting principles and that our receipts and expenditures are being made only in accordance with authorizations of our management and directors; and (iii) provide reasonable assurance regarding prevention or timely detection of unauthorized acquisition, use or disposition of our assets that could have a material effect on the consolidated financial statements.",0,0,0,1
4126,"In approval from the Vice President and Counsel, External Affairs & Investigative Services and the Senior Vice President, Regulatory & Public Affairs, John Hancock made an exception to its general practice by contributing [AMOUNT] to a tax-exempt social welfare organization (501c4) seeking to defeat a state ballot initiative in Massachusetts.",0,1,1,0
4127,"In particular, the estimated fair value of the collateral was highly sensitive to significant assumptions based on management’s expectations about future real estate market or economic conditions and the projected operating results of the property.",0,0,0,1
4128,"The preparation of the financial statements requires the use of accounting estimates which, by definition, will seldom equal the actual results.",0,1,1,0
4129,Fees charged for services related to the management of investment contracts are recognised as revenue as the services are provided.,0,0,1,0
4130,In positions included the Management Board and managerial positions reporting directly to a Management Board member.,0,0,1,0
4131,"Despite our efforts to ensure the integrity of our systems and information, we have not been and may not be able to anticipate, detect or implement effective preventive measures against all cyber threats, especially because the techniques used are increasingly sophisticated, change frequently, and are often not recognized until months after the attack.",0,0,0,1
4132,"If we were to fail to qualify as a REIT in any taxable year, as a result of a determination that we failed to meet the annual distribution requirement or otherwise, we would be subject to federal corporate income tax, and any applicable alternative minimum tax with respect to each such taxable year for which the statute of limitations remains open, as well certain excise taxes on nonqualified REIT income, or disqualification from treatment as a REIT for the four taxable years following the year during which qualification is lost.",0,0,0,1
4133,"The program follows a multi-year roadmap to address regulatory expectations and is engaging with stakeholders and experts both internally and externally to further develop climate risk methodologies, to deliver on ongoing climate stress testing exercises and to build capacity to respond to climate risk management expectations.",0,0,0,1
4134,"It is designed to consider material risks, protect the Group and its subsidiaries from an unacceptable level of loss, compliance failures and/or adverse reputational impacts and support the wider strategic decision-making process.",0,0,0,1
4135,The Committee has engaged in two-way dialogue with major shareholders and with representatives of the workforce on the terms of the remuneration policy and has received generally positive feedback.,0,1,1,0
4136,"FTI Consulting recognizes that in order for our ethics and compliance programs to function effectively, our people must be empowered to raise potential concerns with the necessary training and accessible reporting mechanisms.",0,0,0,1
4137,We have taken another major step in creating supply chain transparency.,0,1,0,0
4138,Clear guidance and robust control mechanisms need to be in place to ensure that sustainability is being integrated in our daily operations.,0,0,1,0
4139,These maintenance fees are used to maintain and refurbish the timeshare properties and to keep the properties in compliance with applicable Hilton standards and policies.,0,0,1,0
4140,The abridged financial results of the Company have been prepared using accounting policies consistent with International Financial Reporting Standards (IFRSs).,0,0,1,0
4141,"For both types of capital equipment and software sales described above, our determination of the point in time at which to recognize revenue represents that point at which the customer has legal title, physical possession, and the risks and rewards of ownership, and we have a present right to payment.",0,0,1,0
4142,"Considering all contractual qualifications that provide for a managerial role (managers, middle managers and management employees), women comprise [PCT] (a slight increase compared to prior years).",0,1,1,0
4143,•	 Compensation of the management team is tied to production and sustainability goals.,0,0,1,0
4144,"Labor Conditions in the Supply Chain Percentage of (audited to a labor code of conduct CG-AA-430b.1 Our expectations are set out in our Supplier Code of Conduct, which includes standards related to ethical conduct, compliance with laws and regulations, working conditions, worker safety, and forced and child labour, among other topics.",0,0,0,1
4145,The Compensation Committee also has discretion to tie vesting of other awards under the [YEAR] Plan to the achievement of performance objectives.,0,0,0,1
4146,"The GDPR includes more robust obligations on data processors and heavier documentation requirements for data protection compliance programs by companies that process personal data of residents of the E.U., and imposes significant penalties for non-compliance.",0,1,1,0
4147,"is a longstanding signatory to the United Nations Global Compact, and I am very pleased to commit Allied Universal to the Ten Universal Principles of the Global Compact on human rights, labor, environment and anti-corruption.",0,0,0,1
4148,Unauthorized persons could gain access to customer accounts if customers do not maintain effectff ive access controls of their systems and software.,0,1,0,0
4149,"The Board of Management is responsible for preparing the annual report, including the financial statements, in accordance with the RTS on ESEF, whereby the Board of Management combines the various components into a single reporting package.",0,0,1,0
4150,"We have policies, procedures and ongoing training in place to educate relevant colleagues on their obligations in relation to anti-tax evasion, including our Anti-Tax Evasion and Anti-Tax Evasion Facilitation Policy.",0,0,0,1
4151,"In accordance with best practices, this report is aligned with the metrics and material issues identified by leading ESG and climate risk reporting frameworks, specifically the Sustainability Accounting Standards Board (SASB) and the Taskforce on ClimateRelated Financial Disclosures (TCFD).",0,0,0,1
4152,"THE ISSUE We believe that a sustainable and successful taxation system is one that balances governments’ need to raise vital revenues for the benefit of all citizens, with the desire to attract and maintain investment, generate jobs, wealth and an entrepreneurial spirit in its citizens.",0,0,1,0
4153,"Colleagues team up to solve a challenge faced by community partners, from developing new fundraising strategies and creating program delivery action plans to updating accounting systems.",0,0,0,1
4154,"In recent years, however, amid the automation of manufacturing processes, the specialization of production lines, and the general tendency to employ smaller number of high-quality workers, it has become difficult for us to develop human resources who are masters of every aspect of manufacturing.",0,1,0,0
4155,Define protocols and prevention and control measures for all levels of the organisation.,0,0,1,0
4156,"In those cases, certain records, books and accounts may be audited or investigated so as to prevent and detect violations of anti-corruption laws and procedures, and to ensure compliance with this Program and other internal policies and procedures.",0,0,0,1
4157,We also rallied together and supported members of staff and their families who were negatively impacted through internal fundraisers throughout the year.,0,0,0,1
4158,This collaboration led to the recommendation by the World Health Organization (WHO) to use liquid culture as a standard of care.,0,0,0,1
4159,Local procurement policy is included in the corporate CEDMS.,0,0,0,1
4160,"When the lease liability is remeasured in this way, a corresponding adjustment is made to the carrying amount of the right-of use asset or is recorded in profit or loss if the carrying amount of the right-of-use asset has been reduced to zero.",0,0,0,1
4161,"By embedding DE&I practices and programs in the full employee lifecycle, we work to attract, recruit, enable, retain and develop diverse world-class talent.",0,1,0,0
4162,"Responsibilities Key activity Labour, employment issues and workforce engagement ɽ Reviewed Ninety One’s position in terms of the International Labour Organisation Declaration on Fundamental Principles and Rights at Work; ɽ noted Ninety One’s leadership development programme; ɽ reviewed the reports from the Senior Independent Director responsible for workforce engagement, in compliance with the requirements of the UK Code; and ɽ received and reviewed updates on the workforce engagement programme.",0,0,0,1
4163,"These provisions may discourage potential acquisition proposals and could delay or prevent a change in control, including when our shareholders might otherwise receive a premium over the market price of our shares.",0,0,1,0
4164,Environmental and climate protection are seen as part of good governance.,0,0,0,1
4165,"Our purpose – we create better outcomes – is the reason we exist Underpinned by our purpose, our responsible business strategy, which was developed following considerable stakeholder engagement and launched in the environmental, social, ethical and governance issues of importance to our business and society, and the actions we are taking to address them.",0,0,0,1
4166,"We believe these commitments are not only the right thing to do to address material environmental topics such as air pollution, climate change, and resource scarcity, but also support us in achieving key strategic objectives in our operations and development projects.",1,0,1,0
4167,"And, in personnel completed the standard human rights training provided by the Search for Common Ground, an international NGO.",0,1,1,0
4168,"Additionally, some cyber technologies and techniques that we utilize or develop may raise potential liabilities related to legal compliance, intellectual property and civil liberties, including privacy concerns, which may not be fully insured or indemnified.",0,1,1,0
4169,"Because collaboration and best practice sharing have proven to be strengths of the program, all together regularly to share plan implementation and key safety metrics with senior vice presidents and presidents.",0,1,1,0
4170,In compliance with Canadian Securities Administrators Staff Notice within the section “Our Equity” under the heading “Total equity” reconciles NAV per Unit to total equity (as per the consolidated financial statements).,0,0,0,1
4171,They also provide a common global framework that policy makers can use in developing government policies and measures.,0,0,1,0
4172,"If business operations are found to be in violation of any of the laws described above or any other applicable governmental regulations a pharmaceutical manufacturer may be subject to penalties, including civil, criminal and administrative penalties, damages, fines, disgorgement of profits, individual imprisonment, exclusion from governmental funded healthcare programs, such as Medicare and Medicaid, contractual damages, reputational harm, diminished profits and future earnings, additional reporting obligations and oversight if subject to a corporate integrity agreement or other agreement to resolve allegations of non-compliance with these laws, and curtailment or restructuring of operations, any of which could adversely affect a pharmaceutical manufacturer’s ability to operate its business and the results of its operations.",0,1,1,0
4173,These projects include replacing outdated energy management systems with new automated technologies and fine-tuning all our refrigeration and HVAC systems to operate at optimal performance levels.,1,0,1,0
4174,We have decided to enter the market with Zeaglouge in the US with our own sales force and aimed to ensure the widest possible access to patients at the end of [YEAR].,0,1,0,0
4175,This response provides language on identifying which employees are accountable for addressing human rights and how that accountability structure makes respecting human rights part of the company’s business conduct.,0,0,0,1
4176,Commercial borrowers are required to provide updated personal and corporate financial statements at least annually.,0,0,0,1
4177,"While we are not aware of material non-compliance with or liabilities under environmental laws associated with our properties or operations, including related to infectious medical waste, hazardous or toxic substances, asbestos, mold, lead-based paint, contaminants in drinking water, radon and/or other substances at our senior housing properties, these environmental laws are amended from time to time and we cannot predict when and to what extent liability or the need to incur additional capital or operational costs may arise.",0,0,0,1
4178,"The Board is also assisted by the Board Risk Committee in the fulfilment of its oversight responsibilities concerning the management of risks, related frameworks, controls and processes including environmental, social and governance (ESG) factors as drivers of existing risk.",0,0,0,1
4179,"Principle Directors, officers, employees and consultants to the Company are required to observe high standards of behaviour and business ethics in conducting business on behalf of the Company and they are required to maintain a reputation of integrity on the part of both the Company and themselves.",0,0,0,1
4180,"Annually a report is made to the CDP (Carbon Disclosure Project), an internationally recognised environment reporting initiative.",0,0,0,1
4181,"Learn more about Biogen’s Clinical Trial Transparency policy, access study-level clinical trial summary results or request access to study-level and patient-level clinical trial information.",0,0,0,1
4182,"In Business Guide for Climate Action to help businesses respond to the climate crisis by taking actions that reduce, or avoid generating, greenhouse gas emissions.",0,0,0,1
4183,"The Qualified Pension Plan has a balance guarantee feature for account balances with participant-selected investments, applied at the time a benefit payment is made from the plan that effectively provides principal protection for participant balances transferred and certain compensation credits.",0,0,1,0
4184,"In the U.S. and other jurisdictions, we also are subject to numerous post-marketing regulatory requirements, which include regulations under the QSR related to the manufacturing of our Products, labeling regulations and medical device reporting regulations, which require us to report to the FDA or comparable regulatory authorities in other jurisdictions and our notified body if our Products cause or contributes to a death or serious injury, or malfunction in a way that would likely cause or contribute to a death or serious injury.",0,1,1,0
4185,"Our ability to make scheduled payments on, or to refinance, our indebtedness, including the Credit Facility, our senior notes and our economic and competitive conditions and certain financial, business and other factors beyond our control.",0,0,1,0
4186,Reducing Emissions: In Our Value Chain Our focus has historically been on the climate-related impact of our direct operations where we have the most control over our facilities energy and fuel usage (Scope 1 and Scope 2).,0,0,0,1
4187,The company built affordable housing units for five hundred families displaced by the factory expansion project.,0,0,0,1
4188,"Hosted by financial experts, this program explained the basics of financial management by using interactive games and activities.",0,0,1,0
4189,"To be authorized by the CVM to engage in such activity, legal entities that operate as asset managers must (registered with the National Register of Legal Entities – CNPJ; (3) have one or more officers duly certified as asset managers as approved by CVM to take on liability for securities portfolio management, pursuant to CVM Resolution No. 21; (4) appoint a compliance officer and a risk management officer; (5) be controlled by reputable shareholders (direct and indirect), who have not been convicted of certain crimes detailed in article 3, VI of CVM Resolution No. 21; (5) who is not unable or suspended from occupying a position in financial institution or other entities authorized to operate by the CVM, the Central Bank, SUSEP or PREVIC, and have not been banned from asset management activities by judicial or administrative decisions; (6) put in place and maintain personnel and IT resources appropriate for the size and types of investment portfolio it manages; and (7) execute and provide the applicable forms to the CVM so as to prove its capacity to carry out such activities, pursuant to CVM Resolution No. 21.",0,0,0,1
4190,This risk is principally controlled through our credit control policies including loan to value limits for the security and through ongoing monitoring and evaluation.,0,0,1,0
4191,"Similarly, agency debt issuers are more likely to exercise embedded call options for agency securities and issue new securities at a lower interest rate.",0,0,1,0
4192,"the health, safety and wellbeing of our employees remained our primary concern.",0,1,0,0
4193,Our overall investment policy is to prudently invest plan assets in a well-diversified portfolio of equity and highquality debt securities and real estate to achieve our long-term return expectations.,0,0,0,1
4194,"Each pillar is supported by a detailed action plan to ensure we attract, hire, progress, engage and retain diverse talent and build a marketleading culture.",0,1,1,0
4195,Forward exchange contracts and interest rate swaps held for hedging purposes are accounted for as either cash flow or fair value hedges.,0,0,1,0
4196,The terms of reference of the Committee can be found on the Company’s website www.sabreplc.co.uk/about-us/ corporate-governance and are reviewed by the Committee on an annual basis.,0,0,0,1
4197,"VALUE CHAIN dEVELOPMENT [ CENTERS FOR COMPLEMENTARY BUSINESSES The objective of the Centers for Complementary Businesses (CCBs) is to strengthen our retailers by developing neighboring, complementary businesses in order to give consumers a comprehensive purchasing experience and, by restoring local parks and public spaces, creating shared value for the entire community.",0,1,0,0
4198,"The Board and its Committees have focused on workforce and stakeholder engagement, culture, succession, diversity and remuneration.",0,0,0,1
4199,"Sartorius GRI Report Governance 102-18 Governance Structure With the Annual General Shareholders' Meeting, Supervisory Board and Executive Board, the Sartorius AG has three corporate managerial bodies whose tasks and powers are essentially derived from the [COMPANY] Law (""Aktiengesetz"") and the company's Articles of Association.",0,0,1,0
4200,"In considering the classification, management considers whether control, significant influence or joint control exists, the nature and structure of the relationship and other facts and circumstances.",0,0,0,1
4201,The Chief Executive Officer and Chief Financial Officer will be eligible for a maximum annual bonus for [PCT] of salary respectively.,0,1,0,0
4202,Trinity works to ensure that employees have the tools and resources they need to maintain the highest standards of ethics and compliance.,0,0,0,1
4203,Executive Leadership Team (ELT) All ELT members can raise risks and opportunities related to ESG topics with the Board and all of them are responsible for ESG performance.,0,1,0,0
4204,"Subject to their respective remits, only a very limited number of GEA employees from Compliance, Internal Audit and Human Resources have access to the reports submitted.",0,0,0,1
4205,"In National Health Service (NHS) in the UK, released the Sustainable Care Pathways Guidance, a guidance document to enable more consistent quantification of the sustainability performance of care pathways globally, both those that already exist and new and emerging pathways, with the intent of providing support to decision makers in their choices related to improving the performance of models of care.",0,0,0,1
4206,We ensure the integrity of our security processes by following the principles and standards based on our Global Security Policy.,0,0,1,0
4207,"through verifying compliance with legal and regulatory, environmental and social governance requirements.",0,0,0,1
4208,The NIKE Community Ambassador (NCA) program gives NIKE employees the opportunity to pass their love of sport on to the next generation.,0,1,0,0
4209,"Going into people management processes in order to build capabilities, retain key skills, develop a reliable talent pipeline and ultimately to engage our employees, local communities and the industry.",0,1,1,0
4210,"The information contained in this Social Responsibility Report encompasses [COMPANY]’sand its prescribed Affiliates (as defined in our annual declaration and collectively referred to throughout this document as LBCFG) relevant activities during the fiscal year ended [DATE], [YEAR], in accordance with Canadian federal regulations.",0,1,0,0
4211,"In addition, the Office of the Chairman assists the Board and its Governance Committee in identifying director education opportunities and in determining the size and composition of the Board and recruitment of new members.",0,0,0,1
4212,"Health & Sanitation: To further the cause of health and sanitation we conduct awareness campaigns, followed by construction of toilets at individual household level.",0,1,0,0
4213,"While the restructuring process will necessitate some painful decisions, I believe that it will leave us in a stronger position going forward and create the best outcome for the greatest possible number of people.",0,1,0,0
4214,"At Nissan, we use CSR as a process-management tool in the pursuit of the balances at right in our various fields of business.",0,0,1,0
4215,"In accordance with ASC 606, Revenue from Contracts with Customers, the Company recognizes revenue when the customer obtains control of the inventory.",0,0,0,1
4216,UNGC principles ICMM principles SASB Comments GRI location based intensity tGHG/tCu 4.13 3.93 3.78 6 Further synonyms of this metrics used in our reporting include carbon emissions intensity and greenhouse gas emissions intensity.,1,0,1,0
4217,The Governance Committee receives regular reports from the Vice President of Corporate Sustainability about the company’s ESG and sustainability initiatives and strategies.,0,1,1,0
4218,"The central standard for our behaviour is our Code of Conduct and additional self-commitments for responsible behaviour, which describe our understanding of values and have also been implemented by our subsidiaries.",0,1,1,0
4219,"To this end, we are gradually fulfilling extended producer responsibility, going through an analysis of the recycling market, supporting voluntary recycling efforts, holding education and training courses, and implementing audits to ascertain recycling effectiveness.",0,1,0,0
4220,• Strengthening our culture of ethical conduct by connecting senior members of the Ethics and Compliance Ofice with HPE business leaders via executive presentations.,0,0,0,1
4221,"FORCED LABOR At J.Crew, we recognize our responsibility to source our products in a legal, ethical and responsible manner consistent with the highest standards.",0,0,0,1
4222,Our international operations accounted for approximately [PCT] of total revenue for fiscal [YEAR].,0,0,1,0
4223,"Becoming a signatory to the UN Global Compact during emphasizes this and commits Axactor to the ten principles of the UN Global Compact, in each of the four areas: human rights, labour, environment, and anti-corruption.",0,0,0,1
4224,Every Ted Rogers Scholarship recipient chosen through our community partners receives $ while the children and dependants of our employees may be eligible to receive a [AMOUNT] scholarship towards their first year of study.,0,1,0,0
4225,"Waste Management We continue to improve our management of waste, with all our sites focusing on initiatives to create efficient waste management plans including: J investigating sustainable material management, looking at the waste that is generated on site and different methods for recycling or reusing the waste J collaborating with different waste organisations and companies that share the same goal to help in minimise the adverse effects of waste in communities, contribute to the sustainable improvement of recycling, and improve the livelihood of people and businesses in rural and urban communities equally.",0,0,0,1
4226,Driving Solutions Through Insights The report also provided advice on how employers can build best-in-class financial wellness programs and what priorities to keep in mind when rolling them out.,0,1,0,0
4227,INTRODUCTION | ENVIRONMENT | SOCIAL | GOVERNANCE | APPENDIX Volunteering FTI Consulting empowers and encourages our employees to make a positive impact on communities by getting involved in causes that are important to them.,0,0,0,1
4228,"It starts with the time and talent of our people, and works its way into the products we produce and the processes we use along the way.",0,1,0,0
4229,I am proud we have produced this Sustainability Report as the framework to advance our ESG journey and hope you take some time to read what Deep Yellow is doing in preparation to operate in a sustainable manner.,0,0,0,1
4230,"GRI 201 Management approach On [DATE], [YEAR], the Company became a wholly owned indirect subsidiary of LVMH Moët Hennessy-Louis Vuitton SE.",0,0,0,1
4231,"We implement initiatives to inform management of the security risk profile, with the use of system health checks, penetration testing and internal audits.",0,1,1,0
4232,We have been publishing an annual sustainability report since accordance with the requirements of the Global Reporting Initiative (GRI) and the provisions of the Sustainability and Diversity Improvement Act (NaDiVeG).,0,0,0,1
4233,"Our strategy recognises that there are a number of factors that can affect the overall performance of the Group, including the economy in which we operate and the political and regulatory environment.  ",0,0,0,1
4234,"We have developed rigorous protocols to minimize safety hazards, and we have substantially improved our safety performance.",0,1,0,0
4235,We are dependent upon our senior management team whose continued service is not guaranteed.,0,0,1,0
4236,Customers sent their season’s greetings to family and friends through Facebook.,0,1,0,0
4237,✓ A Philippines Continue operating the health and safety clinic at site.,0,1,0,0
4238,"Diverse supply chain relationships strengthen our competitive position, while contributing to our market share and total shareholder return.",0,0,1,0
4239,"Climate Strategy Oversight To support Marriott’s climate action efforts, which include setting a science-based target (SBT) and working toward our goal of net-zero value chain GHG emissions by no later than governance structure.",0,0,0,1
4240,"Besides the external initiatives we support, we regularly share with our stakeholders through our channels, human rights activities or campaigns, addressing issues such as gender, race, and the rights of children and adolescents, among others.",0,1,0,0
4241,"Procedures Orion ensures responsible operations in relation to employees and working conditions by adhering to the Group's shared values, the procedures and responsibilities specified in the Corporate Governance Manual as well as the joint ethical principles and policies.",0,1,1,0
4242,Energy use reporting systems B Expand energy reporting to Separation Rapids if additional material work is initiated.,1,0,1,0
4243,"As of December 257 in data center operations, 71 in sales and marketing, 23 in construction, engineering and product and 130 in corporate operations.",0,0,1,0
4244,ENERGY MANAGEMENT PRINCIPLES Benchmark understands that energy management involves changing a company’s culture along with changing out inefficient equipment.,0,0,0,1
4245,"to a culture of corporate compliance, honest and ethical behaviour, and strong corporate governance and the Reportable Conduct Procedure where stakeholders may notify us on a Reportable Conduct.",0,0,0,1
4246,LGE is monitoring organizational units for the establishment of ground rules related to meetings/reporting and for strengthening implementation ability.,0,0,0,1
4247,"AEP manages several social media channels including Facebook, Twitter and LinkedIn.",0,1,0,0
4248,We continually take steps to strengthen our reporting approach through ongoing stakeholder engagement and voluntary adherence to global non-financial reporting standards.,0,0,0,1
4249,The entire team wore blue shirts made in support of the foundation as well as to raise awareness.,0,1,0,0
4250,"In FY’significant instances of noncompliance or fines – raised through normal grievance or compliance channels – about our actions or activities related to corporate conduct, bribery or corruption, human rights, supplier management, data privacy/cybersecurity, environment, safety and health, discriminatory practices, violations involving the rights of indigenous peoples, product and service information, or labeling and marketing communications.",0,0,0,1
4251,Rainey Kelly Campbell Roalfe/Y&R UK Advertising Standards Authority Broadcast TV commercial might encourage fast driving in cities.,0,0,0,1
4252,"Total net investment gains (losses) $ ( __________________ (1) Net credit loss provision by sector for foreign government, consumer corporate, industrial corporate, RMBS and finance corporate securities for the year ended [DATE], [YEAR] were ([AMOUNT]) million, ([AMOUNT]) million, ([AMOUNT]) million, ([AMOUNT]) million and ([AMOUNT]) million, respectively.",0,0,1,0
4253,"Our stated environmental priorities are energy, water and materials & waste, but we consider climate to be an overarching issue that covers all of these areas, and one that we address through implementation actions in each area, not just energy alone.",0,0,0,1
4254,"We are required to determine whether our tax position is more likely-than-not to be sustained upon examination by the applicable taxing authority, including resolution of any related appeals or litigation processes, based on the technical merits of the position.",0,0,1,0
4255,[COMPANY] maintains employee benefit plans and programs in which its executive officers are participants.,0,1,1,0
4256,"Policy, memberships, awareness-raising and reporting The company has a Policy against Climate Change, in which there is a commitment to supporting the necessary international conventions, encourage the development of technology, and promote efficient energy use and responsible consumption.",0,0,0,1
4257,We consider safety and quality to be complementary topics which we implement both in our employees’ conduct and in our production processes.,0,1,0,0
4258,"We first conducted an assessment to identify gaps in our internal practices and external disclosures, resulting in the development of an action plan.",0,0,1,0
4259,"provisions are adjusted at each reporting period for changes to factors including the expected amount of cash flows required to discharge the liability, the timing of such cash flows and the discount rate.",0,0,1,0
4260,"The Board has a Risk and Compliance Committee, consisting of the Chair of the Board and the non-executive directors which is responsible for providing oversight and challenge to the Group’s risk management arrangements.",0,0,0,1
4261,"This includes engagement with local schools, landowners, local government officials, and residents— many of whom are also Warrior employees or their family members.",0,1,0,0
4262,"The allowance determination as to whether the receivables are collectable requires a high level of management judgment and estimates, whereby management considers specific factors including the age of the balances, historical payment patterns and any other relevant information concerning the creditworthiness of the counterparties.",0,1,1,0
4263,It selects the two statutory auditors and reviews their compensation.,0,0,0,1
4264,"Amortization expenses amounted to $with [AMOUNT].0 million for [YEAR], an increase of [AMOUNT].0 million resulting from the increase in the amortization of intangible assets and right-of-use assets mainly relating to business acquisitions as well as lease renewals and expansions made during the year.",0,0,1,0
4265,"For all other countries, the toll-free telephone number can be found at www.ethics.kbr.com Director of business integrity via mail at P.O. Box 2464, Houston, TX 77252-2464, U.S.",0,0,0,1
4266,We believe responsibility is everybody’s business and the Code of Conduct guides our daily work.,0,1,1,0
4267,"CAUTIONARY STATEMENT REGARDING MINERAL RESERVES AND MINERAL RESOURCES Scientific and technical information contained in this Management’s Discussion and Analysis has been reviewed and approved by Sébastien Bernier, P. Geo (Senior Director, Geology and Mineral Resources).",0,0,1,0
4268,"Sands’ corporate responsibility platform represents our unique approach to addressing the ESG issues most material to our business, communities and key stakeholders.",0,0,0,1
4269,"BlueScope expects suppliers to have policies, procedures and management systems in place to measure and improve material environmental and social impacts.",0,0,0,1
4270,"SRF supports community groups, small charities and schools in areas of economic or social deprivation, who use sporting activities to promote physical and emotional well-being, community cohesion, education, and inclusion of people who are facing difficulties in their lives.",0,1,0,0
4271,"structural bodies) has 6,117 employees, 2,316 of whom are male ([PCT]) and 3,801 are female ([PCT]).",0,1,0,0
4272,Management override of internal controls The Committee considered the inherent risk of management override of internal controls as defined by auditing standards.,0,0,0,1
4273,"The team of commercial lending officers brings years of lending experience and knowledge, as well as extensive involvement in the community.",0,1,0,0
4274,"Reporting Following each meeting of the Audit and Risk Committee, the Chairman of the Audit and Risk Committee reports to the Board on the activities and key discussion areas of the Audit and Risk Committee.",0,0,0,1
4275,"“Adjusted Net Operating Income” means, with respect to any Asset, (a) the product of (i) four ((1) [PCT] of all rental income (other than tenant reimbursements) from the operation of such Asset for the fiscal quarter of the Parent Guarantor most recently ended for which financial statements are required to be delivered to the Administrative Agent pursuant to Section 5.03(b) or (d), as the case may be, exceeds (2) all management fees payable in respect of such Asset for such fiscal period less (b) the Capital Expenditure Reserve for such Asset; provided, however , that for purposes of this definition, in the case of any acquisition or disposition of any direct or indirect interest in any Asset (including through the acquisition of Equity Interests) by the Parent Guarantor or any of its Subsidiaries during any fiscal quarter, Adjusted Net Operating Income will be adjusted (1) in the case of an acquisition, by adding thereto an amount equal to (A) four (4) times (B) the acquired Asset’s actual Net Operating Income (computed as if such Asset was owned or leased by the Parent Guarantor or one of its Subsidiaries for the entire fiscal quarter) generated during the portion of such fiscal quarter that such Asset was not owned or leased by the Parent Guarantor or such Subsidiary and (2) in the case of a disposition, by subtracting therefrom an amount equal to (A) four (4) times (B) the actual Net Operating Income generated by the Asset so disposed of during such fiscal quarter.",0,0,0,1
4276,Due to travel and social distancing restrictions resulting from the COVID-attend the US third-party logistics provider inventory count.,0,1,0,0
4277,Management believes the financial institutions are financially sound and risk of loss is minimal.,0,0,0,1
4278,"This section describes the impact of ethics, responsible business and compliance matters on the [COMPANY]´s activities, and relationships and the impact of the [COMPANY]´s activities and relationships on compliance.",0,0,0,1
4279,"The Committee also oversaw compliance with procedures for the receipt, retention and treatment of complaints regarding accounting, internal accounting controls, auditing and other federal securities law matters, including confidential and anonymous submissions of these complaints.",0,0,1,0
4280,"in which we operate, strong local compliance and governance are key.",0,0,0,1
4281,"anticipate and manage corporate risk and, where possible, to convert potential risks into business opportunities.",0,0,1,0
4282,"In of [AMOUNT].6 million ([YEAR] - income tax recovery of [AMOUNT].8 million) primarily due to the deferred tax liability arising from the gain recognized on disposition of the Company’s residual interests in its previously owned Red Mountain project during second quarter in [YEAR], and from the renouncement of expenditures related to the flow-through shares issued which are capitalized for accounting purposes.",0,0,0,1
4283,"We accomplished our Berardi of achieving or exceeding a Level A rating for elements of Canada’s TSM program, which includes energy and greenhouse gas (GHG) emissions management, safety and health, indigenous and community relationships, crisis management, and communications planning.",0,0,0,1
4284,"The Waste Recovery Park underpins the group’s strategy to innovate and develop its assets to deliver robust, strong technological solutions to the emerging markets, particularly in these difficult economic times. Development and implementation of the Group’s Integrated Management System has continued at existing and newly acquired sites.",0,0,0,1
4285,We have an “open door” policy concerning issues of noncompliance with the Code of Ethics or any other company policy.,0,0,0,1
4286,"The Sustainability Accounting Standards Board (SASB) is an independent standards-setting organization that supports reporting standards for companies to identify, manage and community sustainability information to their stakeholders.",0,1,1,0
4287,"We are also focused on improving value and supply chain management, with a priority on examining emissions allocation, sustainability efforts and diversity measures.",0,0,0,1
4288,In warehouse facilities on OSHA compliance and maintain safety principles that uphold operational excellence.,0,1,1,0
4289,"Employees complete periodic anti-corruption compliance training, which includes instructor-led training as well as online training.",0,0,0,1
